image,title,price,brand
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-236-345-V01.jpg,CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMK16GX4M2D3000C16,62,Microsoft
https://c1.neweggimages.com/ProductImageCompressAll300/20-232-413-02.jpg,G.SKILL TridentZ Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel Z370 Platform Desktop Memory Model F4-3200C16D-32GTZKW,129,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-869-V80.jpg,ASRock B450 Steel Legend AM4 ATX AMD Motherboard,94,OLOy
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A6PF_1314363506126079209LNsX9JrdS.jpg,Wavlink Updated Hard drive Docking Station - USB 3.0 to SATA Dual Bay HDD Docking Station in Red For 2.5 & 3.5 In. HDD/SSD SATA I/II/III- Support Offline Clone / Duplicator / Backup / UASP Functions,19,AMD
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-844-V07.jpg,ASRock Fatal1ty B450 GAMING-ITX/AC AM4 Mini ITX AMD Motherboard,109,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-011-399-S02.jpg,"Microsoft Office Home and Business 2019 | 1 device, Windows 10 PC/Mac Key Card",44,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-147-312-V11.jpg,"Rosewill ATX Mid Tower Gaming PC Computer Case, 360 mm water Cooling Radiator Support, USB 3.0 - ZIRCON T",119,Kaspersky Lab
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-821-201-V01.jpg,OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model MD4U163216CFDA,379,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-104-V03.jpg,AMD RYZEN 7 3800X 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor,26,Symantec
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-147-262-V01.jpg,Rosewill FBM-X1 Black Steel / Plastic Mini Tower Case with Side Panel Window,14,Electronic Arts
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-969-087-V08.jpg,"Rosewill Gaming Laptop Cooler Notebook Cooling Pad, 5 Silent Blue LED Fans with Powerful Air Flow, Control Panel with LCD Screen, Portable Height Adjustable Laptop Stand, Comfortable with Wrists",9,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/75-861-174-Z01.jpg,"Refurbished: Krazilla 15600 mAh Car Charger, Power Bank, KZP1010, Grade A, New Open Box",29,NZXT
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-078-829-S01.jpg,Kaspersky Internet Security 2019 - 1 PC / 1 Year (Key Card) - OEM,59,RAZER
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-321-V01.jpg,"Rosewill PHOTON Series 550W Full Modular Gaming Power Supply, 80 PLUS Gold Certified, Single +12V Rail, Intel 4th Gen CPU Ready, SLI & Crossfire Ready - Photon-550",39,Intel
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-119-004-V01.jpg,"NEW Norton 360 Premium - Antivirus software for 10 Devices - Includes VPN, PC Cloud Backup & Dark Web Monitoring powered by LifeLock [Download] - 2020 Ready!",59,G.SKILL
